date,symbol,open,high,low,close,volume
2021-01-01,0050,119.62,120.65,118.69,119.72,8125288
2021-01-04,0050,120.83,121.71,117.91,118.27,10639810
2021-01-05,0050,118.15,119.12,118.05,118.14,9708727
2021-01-06,0050,118.36,121.43,117.89,120.89,8545056
2021-01-07,0050,120.7,121.87,120.43,120.55,10846635
2021-01-08,0050,120.73,120.91,118.67,120.03,11730405
2021-01-11,0050,119.3,122.57,118.39,121.44,7085618
2021-01-12,0050,121.62,122.62,120.62,121.43,10056633
2021-01-13,0050,122.03,124.29,121.45,123.61,9343643
2021-01-14,0050,123.66,125.02,120.84,121.04,10310022
2021-01-15,0050,120.72,122.16,119.29,119.74,10630030
2021-01-18,0050,120.64,121.65,116.47,117.09,10931799
2021-01-19,0050,117.64,118.19,114.54,115.13,9086850
2021-01-20,0050,115.45,116.26,113.38,114.36,9980499
2021-01-21,0050,114.17,116.81,114.14,115.09,12625286
2021-01-22,0050,114.7,118.76,113.56,117.01,12057279
2021-01-25,0050,116.91,117.68,116.03,117.08,13102588
2021-01-26,0050,116.65,118.46,115.52,117.36,11516245
2021-01-27,0050,117.24,118.71,116.94,118.44,7663290
2021-01-28,0050,118.4,119.31,117.71,118.81,8254715
2021-01-29,0050,118.49,121.33,118.44,120.44,13440998
2021-02-01,0050,120.58,122.42,118.81,120.26,9852827
2021-02-02,0050,120.1,121.07,118.77,119.43,9727377
2021-02-03,0050,119.38,123.41,118.62,121.57,14441970
2021-02-04,0050,122.03,122.5,121.72,122.12,11401690
2021-02-05,0050,122.14,123.7,122.07,123.6,8132755
2021-02-08,0050,123.65,124.95,120.29,121.01,7009126
2021-02-09,0050,120.93,122.67,120.74,120.76,9821759
2021-02-10,0050,120.98,124.28,120.2,123.26,11186151
2021-02-11,0050,122.86,125.63,122.8,124.44,11181791
2021-02-12,0050,124.14,125.48,123.7,124.74,8685869
2021-02-15,0050,124.19,125.15,124.02,124.24,11961740
2021-02-16,0050,123.96,124.4,121.13,122.51,11150623
2021-02-17,0050,122.76,123.05,121.52,122.23,15023511
2021-02-18,0050,122.26,123.46,121.09,122.46,7301490
2021-02-19,0050,122.56,122.94,118.66,120.01,9855130
2021-02-22,0050,119.41,120.0,116.66,117.26,10048895
2021-02-23,0050,117.76,119.04,116.07,116.69,7052121
